Name,Wikidata Identifier,Wikipedia Article,Gender,Place of Birth,Place of Death
Jan van Aken,Q6150343,"Jan van Aken (1614 – 25 March 1661 (buried)) was a Dutch Golden Age painter and engraver.  Van Aken was born and died in Amsterdam, but has been frequently confused with the celebrated German painter Johann van Achen of Cologne. Not much is known of his paintings but Bartsch enumerates twenty-one of his etchings, which are touched in the manner of Herman Saftleven. They are very slight but display great mastery.  Houbraken describes an etching by him from his own design, which he says is very scarce. He terms it the Travellers On Horseback. It is marked  ""J.V Aken, inv. et fec."". Among those mentioned are six horses after Pieter van Laer or Bamboccio and six views of the Rhine after Saftleven.  He was also influenced by Philips Wouwerman.",male,Kampen,Amsterdam
Jan van Almeloveen,Q3806956,"Jan van Almeloveen (1656 – 1684) was a Dutch painter, engraver, and draughtsman of the 17th century, principally known for some neatly executed etchings of landscapes.  He was born in Mijdrecht, according to an inscription on his 1678 mezzotint portrait of his father, Johannes ab Almeloveen, a preacher in that city. He made 38 prints in total, all of which are etchings, mostly landscapes, including Dutch villages and rivers. Twenty of his landscape prints are based on the work of Dutch painter Herman Saftleven, with twelve depicting Dutch villages, and a series of four diamond-shaped prints of the Four Seasons. The other prints were created from his own designs and are less lively in composition. He died sometime after 1683, the year written on his last known print.  His Landscape with Harvesters illustrates the mid-17th-century shift in Dutch landscape art from a fascination with agricultural work that was prevalent in the 16th century, to a recreational interest in the scenery and the pleasures of country life.",male,Mijdrecht,Utrecht
Juriaen Ambdis,Q96091845,"Juriaen Ambdis was a 17th-century Dutch ship's gunner and painter. In 1648 he took service as gunner in the army of Safavid King (Shah) Abbas II (r. 1642-1666). He participated in the successful Siege of Kandahar during the Mughal–Safavid war (1649–53). After the siege, Ambdis and all other Dutchmen were discharged from service. However, unlike his fellow kinsmen, Ambdis decided to stay in Safavid Iran, reportedly eager to work as an artist. His decision was inspired by the extremely high salaries paid by the Safavids to Hendrick Boudewijn van Lockhorst, another Dutch painter. However, unlike Van Lockhorst, Ambdis was unsuccessful in making a name for himself, and almost fell into beggary. On 29 March 1649, an Iranian merchant had spotted Ambdis walking alone behind a caravan in Ottoman-held Iraq, and had given him bread. On 22 May 1650, it was reported that Ambdis had converted to Islam in Baghdad. Ambdis subsequently disappears from historic records; he died sometime after 1650.",male,,
Sara van Baalbergen,Q7422935,"Sara van Baalbergen (1607 – after 1638), was a Dutch Golden Age artist.  According to the Netherlands Institute for Art History (RKD) she was the first female member of the Haarlem Guild of St. Luke and was mentioned as member in the years 1631 and 1634–1638. She married the painter Barent van Eysen, who was a follower of Vincent van der Vinne, in 1634. No known works by Van Baalbergen survive, although it is assumed that she was primarily a painter.",female,Haarlem,
Jacobus Bisschop,Q6119852,"Jacobus Bisschop (1658 – 1697) was an 18th-century painter from the Dutch Republic.  He was born and died in Dordrecht. According to Houbraken when his younger brother Abraham no longer needed him, he left for the Hague to follow lessons from Augustinus Terwesten. After that he mostly made paintings for wall decorations in stately homes, at which pursuit he was quite successful.  According to the RKD he was the son of the genre painter Cornelis Bisschop and brother of the bird painter Abraham Busschop. He became Terwesten's pupil in 1686 at the Confrerie Pictura. He became a member of the Dordrecht Guild of St. Luke.",male,Dordrecht,Dordrecht
Cornelia toe Boecop,Q19754744,"Cornelia toe Boecop (born 1551 – after 1629) was a Dutch fine art painter from the Dutch Republic. Her mother and older sister were also painters.  Cornelia toe Boecop was born in 1551 in Kampen into a wealthy family as one of five siblings. Her father was the city councilor Egbert toe Boecop and her mother was the famous painter Mechtelt van Lichtenberg.  Cornelia's older sister Margaretha toe Boecop also became a painter. The daughters were probably educated by their mother, as painting and drawing, like needlework and music, were part of a girl's education in high society at that time. Her first marriage was to Roric van Harderwijck before 1601 and after he died, she married Gerrit Boecop van Houwenberch. There were no known offspring from these marriages.  A portrait of a man from 1595 has been preserved. Based on the coat of arms that appears on the painting, he has been identified as a member of the Van der Vecht-van Zuilen van Nijevelt family. It is signed ""Iov. Cornelia toe Boecop me faecit an. 1595."" This inscription seems to indicate that Cornelia continued painting after she was married, just as her mother had. In addition, two other works, a ""Portrait of a Woman"" and a ""Crucifixion"" from 1593, have been preserved. After the restoration of the ""Crucifixion,"" a museum exhibition entitled “Depicted Suffering” was held at the Stedelijk Museum Kampen in 2006.  Cornelia toe Boecop is the only painter-daughter of Mechtelt van Lichtenberg who was mentioned by Johan van Beverwijck in his work Van de wtnementheyt des Vrouwelicken genera, (On the excellence of the female sex) published in 1643. He praised her mother, who he identified as Mechtelt Boecop, as a talented painter, and said: ""her daughter Cornelia van Boecop also understood the same art, and she was still alive, being very old, in the year 1629."" Her life remains unknown apart from her two marriages and remaining works of art.  She lived much of her life in Kampen and died sometime between 1630 and 1634 in Sint-Michielsgestel.  Four of Cornelia's works are known to exist.",female,Kampen,Sint-Michielsgestel
Gesina ter Borch,Q1519218,"Gesina ter Borch (Deventer 15 November 1631 –  Zwolle 16 April 1690) was a Dutch Golden Age watercolorist and draftswoman, whose work mostly consists of watercolor paintings in albums. Most of her work captured her observations of family life, current events, and fashionable people. In addition to the visual arts, she wrote love poetry.  Gesina ter Borch was born on 15 November 1631 in Deventer in the Dutch Republic. She was the first child of the third marriage of Gerard ter Borch the Elder, who taught her to draw and paint. Her father was a draftsman and artist, but became a customs collector of commercial trade with the title of license master, working on the border between the Holy Roman Empire and the Dutch Republic. He trained her older and younger brothers more formally but Gesina was well educated for a woman of her time and class, learning to read, write and study the art of calligraphy (seen as suitable endeavours for well-born women). She also studied music and learned to draw. Her half-brother Gerard ter Borch II enjoyed artistic success and corresponded with Gesina frequently. After the loss of her younger brother, Moses, in the Battle of Landguard Fort, part of the Second Anglo-Dutch War (1665-1667), Gesina's work conveyed her deep sadness.  Gesina ter Borch was successful during her artistic career, although given her relatively high social class, she did not have to work as an artist for a living. Her earliest dated piece is from 1648, when she was 17 years old.  She also collaborated with her older half-brother Gerard in a few of his pieces. Gesina was a model for many of the ladies that are depicted in Gerard's works Ladies in Satin. Gerard considered Gesina his favorite model for these works. Gesina became a successful watercolorist. During her lifetime, she collected love poetry, and she made illustrations to coincide with it as well. Some albums of her work even included pieces dedicated to songs about love.  Only two paintings by Gesina ter Borch are known, with the only signed painting being discovered only in 2024, three watercolor albums survive, as well as 59 loose sheets of drawings. Her work was not widely known during her lifetime, because she was an amateur rather than a professional artist. Between ages 14 and 15, Gesina began her first album, Materi-boeck. Between 1652 and 1660, she produced a second album with 116 sheets containing songs, poems, and illustrations.   Ter Borch lived her entire life on the Sassenstraat in Zwolle, where she died on 16 April 1690. In 1660, she became friends with Henrik Jordis, a merchant from Amsterdam and an amateur poet. This resulted in courtship but she did not marry.  Only a few paintings by Gesina ter Borch are known, with the only signed painting discovered only in 2024. Three watercolor albums survive, as well as 59 loose sheets of drawings. Her work was not widely known during her lifetime, because she was an amateur rather than a professional artist. Between ages 14 and 15, Gesina began her first album of illustrated poetry and calligraphy of moralizing verses, the Materi-boeck.  Between 1652 and 1660, she produced a second album with 116 sheets containing songs, poems, and illustrations.  In 1882 art historian Abraham Bredius rediscovered the family’s albums compiled by Gesina ter Borch and they were acquired by the Rijksmuseum. For well over a century the albums were used as a source for information about ter Borch's more famous brother Gerhard, until art historians Alison Kettering and Hans Luijten began to study them from interest in Gesina ter Borch herself. Gesina acted as archivist and curator of the family's collections, and she appeared as a model for her brother's genre paintings.  In March of 2021 Ter Borch's work was added to the ""Gallery of Honor"" at the Rijksmuseum. Ter Borch, Judith Leyster, and Rachel Ruysch were the first women artists to be included in the gallery.  In 2023, an antique dealer bought a portrait of a toddler he initially thought was a likeness of Prince William III but which on further investigation was discovered to be the only known signed painting by Gesina ter Borch. It was acquired by the Rijksmuseum for over 3 million euros.",female,Zwolle,Zwolle
Hendrick ter Brugghen,Q437233,"Hendrick Jansz ter Brugghen (or Terbrugghen; 1588 – 1 November 1629) was a Dutch painter of genre scenes and religious subjects.  He was one of the Dutch followers of Caravaggio – the so-called Utrecht Caravaggisti. Along with Gerrit van Hondhorst and Dirck van Baburen, Ter Brugghen was one of the most important Dutch painters to have been influenced by Caravaggio.  No references to Ter Brugghen written during his life have been identified. His father Jan Egbertsz ter Brugghen, originally from Overijssel, had moved to Utrecht, where he was appointed secretary to the Court of Utrecht by the Prince of Orange, William the Silent. He had been married to Sophia Dircx. In 1588, he became bailiff to the Provincial Council of Holland in The Hague, where Hendrick was born.  The earliest brief reference to the painter is in Het Gulden Cabinet (1661) of Cornelis de Bie, where he is mistakenly referred to as Verbrugghen. Another short account is found in the Teutsche Academie (1675) by Joachim von Sandrart, where he is referred to as Verbrug. Here we learn that he studied with Abraham Bloemaert, a Mannerist painter. Sandrart also refers to the painter's ""tiefsinnige, jedoch, schwermütige Gedanken in seinen Werken"" [profound, but melancholic thoughts in his works].  From this unsure footing, the artist's son Richard ter Brugghen sought to rehabilitate his father's reputation as a painter in the early 18th century. He secured a letter, dated 15 April 1707, from Adriaen van der Werff in Rotterdam, attesting to his appreciation of Hendrick's work. Later that year, on 5 August 1707, Richard presented the government council of Deventer with four paintings of the Evangelists, to be hung in the Town Hall as a permanent memorial to his father.  An engraving, in all likelihood commissioned by Richard ter Brugghen from Pieter Bodart, and based on an earlier drawing by Gerard Hoet, was put about in 1708. It shows an idealised portrait of Hendrick, the family coat-of-arms, and a printed caption translated from the Dutch as:  Born in Overijsel in 1588, travelled from Utrecht to Rome, and ten years later returned to Utrecht, married there, lived there interruptedly, and died at the age of 42 on 1st Nov. 1629; he was a great and famous history painter from life, painting life-size figures in the Italian manner, so very superior to all others that the famous P. P. Rubens on travelling through the Netherlands declared on coming to Utrecht that he had found only one painter, namely Henricus ter Brugghen. G. Hoet del. P. Bodart, fec.  Cornelis de Bie, in his Spiegel vande Verdrayde Werelt (1708), and Arnold Houbraken, in his De Groote Schouburgh (1718–1721), produced biographies where they repeated Richard's claims that the painter met Rubens in Rome and also worked in Naples. There was a cadet of the same name serving in the army of Ernst Casimir of Nassau-Dietz in the spring of 1607, and for this reason, Ter Brugghen is thought to have been in Italy, but only in that year, rather than as previously believed in 1604 (inferred as it was from the inscription on the Bodart print). This would certainly mean that he never met Caravaggio in Rome; that artist had fled Rome on a murder charge in 1606. However, it is certain that he was the only Dutch painter in Rome during Caravaggio's lifetime.  By 1614, Ter Brugghen was in Milan, on his way home. On 1 April 1615, Thyman van Galen and Ter Brugghen are witnesses before the court in Utrecht. He is already listed as a member of the Utrecht painter's guild in 1616, and on 15 October of that year he married Jacomijna Verbeeck, his elder brother Jan's stepdaughter.  Ter Brugghen died in Utrecht on 1 November 1629, possibly a victim of the plague. The family had been living in the Snippenvlucht. Ter Brugghen's last child of eight, Hennickgen, was born four months later on 14 March 1630.  He certainly studied Caravaggio's work, as well as that of his followers–the Italian Caravaggisti–such as Orazio Gentileschi. Caravaggio's work had caused quite a sensation in Italy. His paintings were characteristic for their bold tenebroso technique–the contrast produced by clear, bright surfaces alongside sombre, dark sections–but also for the social realism of the subjects, sometimes charming, sometimes shocking or downright vulgar. Other Italian painters who had an influence on Ter Brugghen during his stay in Italy were Annibale Carracci, Domenichino and Guido Reni.  Upon returning to Utrecht, he worked with Gerard van Honthorst, another of the Dutch Caravaggisti. Ter Brugghen's favourite subjects were half-length figures of drinkers or musicians, but he also produced larger-scale religious images and group portraits. He carried with him Caravaggio's influence, and his paintings have a strong dramatic use of light and shadow, as well as emotionally charged subjects. His treatment of religious subjects can be seen reflected in the work of Rembrandt, and elements of his style can also be found in the paintings of Frans Hals and Johannes Vermeer. Peter Paul Rubens described ter Brugghen's work as ""...above that of all the other Utrecht artists"".  Works include:",male,The Hague,Utrecht
Peter Danckerts de Rij,Q304915,"Pieter, Peeter, or Peter Danckerts de Rij, Dankers de Ry, or Peteris Dankersas (1605, in Amsterdam – buried 15 December 1660, Amsterdam). was a Dutch Golden Age painter mostly active in the Polish–Lithuanian Commonwealth and Sweden.  He was the son of Cornelis Danckerts de Ry, member of a large family of printers, painters and engravers.  Cornelis is mentioned in Houbraken's Schouburg as being one of the many teachers of Joachim von Sandrart in 1640-41, though considering Sandrart's age and experience (he had just returned to the North from his Grand Tour to Italy), this was more of a collaboration. Since Filippo Baldinucci later wrote a biographical sketch on Pietro Danckerse de Ry in his list of artists called the Notizie, it is possible that Danckerts visited Italy at some time. In any case Sandrart engraved some of Peter's paintings after this period. Between 1634 and 1638 he moved to Warsaw, and later Danzig, and Vilnius in the Polish–Lithuanian Commonwealth. Here he was the court painter and architect of King Władysław IV Vasa. According to Houbraken a poem was written in his honor that applauds his work in Poland.  In 1648 he moved to be a painter at the court of Queen Christina in Stockholm. Her successor, King Charles X Gustav, held him in high regard.  He returned to the Dutch Republic in 1659 and died in Amsterdam in December of the next year.  The story that he died in August 1661 as the result of a highway robbery in the Rūdninkai Forest near Vilnius involves an unnamed artist aged 78, while Danckerts would have been 55. This incident possibly concerns one of Danckerts' successors at the Polish court instead.  In 1634 Peter painted pendant portraits of his parents, his father Cornelis the painter and his mother. His mother's portrait hangs in Johannesburg Art Gallery, and his father's portrait hangs in Royal Museums of Fine Arts of Belgium.   Media related to Peeter Danckers de Rij at Wikimedia Commons",male,Amsterdam,Amsterdam
Olivier van Deuren,Q18643242,"Olivier van Deuren or Olivier Pietersz. van Deuren; Olivier van Dueren; Olivier van Durren (December 21, 1666 – February 10, 1714) was a painter from the Dutch Republic.  Deuren was born in Rotterdam and became a pupil of Peter Lely, Frans van Mieris the Elder and Caspar Netscher. He is known for genre works and figure studies.  Deuren died in Rotterdam.",male,Rotterdam,Rotterdam
