Name,Wikidata Identifier,Wikipedia Article,Gender,Year of Birth,Year of Death,Place of Birth,Place of Death
Johannes van der Aeck,Q1033616,"Johannes Claesz. van der Aeck of Aack (gedoopt Leiden, 3 februari 1636 – begraven aldaar, 21 maart 1682) was een Nederlands schilder behorend tot de Hollandse School. Hij was de zoon van wijnhandelaar Niclaes van der Aeck. In een belastingkohier uit 1674 wordt hij vermeld als 'wijncooper' wonend in de wijk Overmare Rijnzijde in Leiden.  Van der Aeck specialiseerde zich in de genreschilderkunst. In 1658 werd hij lid van het Leidse Sint-Lucasgilde. Hij was daar decaan in de jaren 1673, 1674 en 1676.",male,1636,1682,Leiden,Leiden
Evert van Aelst,Q759747,"Evert van Aelst (Delft, 1602 - aldaar, 19 februari 1657) was een Nederlandse schilder van stillevens uit de Nederlandse Gouden Eeuw. Hij was de oom van de bekendere Willem van Aelst.  Er is niet veel bekend over het leven van Evert van Aelst. In 1602 werd hij geboren in Delft, waarschijnlijk als zoon van een advocaat, Willem van Aelst. Volgens Arnold Houbraken was hij waarschijnlijk een afstammeling van de Vlaamse schilder Pieter Coecke van Aelst.  De opleiding en achtergrond van Evert van Aelst zijn onduidelijk, maar zijn stijl lijkt in navolging te zijn van Pieter Claesz. (1597/98–1660) en vertonen ook invloeden van Balthasar van der Ast (1593/94–1657). Vanaf 15 mei 1632 is Van Aelst ingeschreven als lid van het Sint-Lucasgilde in Delft. Hij was de oom en docent van de vandaag de dag bekendere Willem van Aelst (1627 - 1683) en was ook van 1625 - 1649 docent van Jan Denysz. (waarschijnlijk Jan Abrahamsz. Denyse) en Adam Pick (1621/22 - 1642).  Zijn werken gelden als zorgvuldig uitgevoerd. Volgens Houbraken was hij een excellente schilder van alle soorten stillevens. Hij was vooral lovend over Van Aelst's schilderijen van vruchten, harnassen, helmen en allerlei metalen, die hij natuurgetrouw wist weer te geven. Naar Gustav Friedrich Waagen schilderde hij zeer nauwgezet dode vogels - slechts zelden andere dieren en jachtgerei.  Hij signeerde zijn werken dikwijls met E. V. Aelst. Ongetekende schilderijen zijn dikwijls lastig aan hem toe te schrijven. Een serie werken die eens aan hem zijn toegeschreven gelden inmiddels als werken van zijn neef Willem. Er zijn weinig schilderijen die met zekerheid aan hem kunnen worden toegeschreven, en ze zijn slechts zelden in publiek bezit.",male,1602,1657,Delft,Delft
Willem van Aelst,Q553273,"Willem van Aelst of Guillermo van Aelst (Delft, gedoopt 16 mei 1627 – Amsterdam, begraven 22 mei 1683) was een Hollandse schilder van bloem- en jachtstillevens. Hij introduceerde de asymmetrie in stillevens met boeketten. Hij ondertekende zijn werk ook met Guill.mo van Aelst.  Willem van Aelst werd op 16 mei 1627 te Delft geboren als de zoon van de notaris Jan van Aelst en Catharina de Veer. Hij leerde het schildersvak bij zijn oom, de stillevenschilder Evert van Aelst in Delft. In 1643 werd van Aelst opgenomen in het Sint-Lucasgilde, het gilde van kunstschilders, in Delft.  Van 1645 tot 1649 woonde hij in Frankrijk. Vervolgens reisde hij naar Italië, waar hij tot 1656 hofschilder was bij Ferdinando II de' Medici in Florence. Hij ontving van de groothertog van Toscane een gouden medaille als beloning voor zijn diensten. Er zijn nog verschillende bloem- en wildstillevens uit die tijd overgebleven in het Palazzo Pitti te Florence. In Italië leerde hij Matthias Withoos en Paulus Bor jr. kennen. Er wordt gespeculeerd dat Van Aelst Rome bezocht en daar lid werd van de Bentvueghels, een vereniging van voornamelijk Nederlandse en Vlaamse kunstenaars werkzaam in Rome. Dit vermoeden is gebaseerd, niet erg overtuigend, op zijn praktijk gedurende de jaren 1657-1658 om zijn werken te signeren met zijn naam, gevolgd door: 'alias (en een getekende stok figuur)'. Sommigen interpreteren dit als een verwijzing naar een 'bentnaam' (de bijnaam die een lid van de Bentvueghels kreeg) - ""De vogelverschrikker"" - maar er zijn geen documenten die dit bevestigen.  In 1657 keerde Van Aelst samen met Otto Marseus van Schrieck terug naar de Republiek. Hij vestigde zich op de Bloemgracht in Amsterdam. Op oudejaarsdag 1678 verloofde Willem van Aelst zich op 51-jarige leeftijd met zijn huishoudelijke hulp Helena Nieuwenburghs, een Duitse en ""out 35 jaeren"". Zij trouwden op 15 januari 1679 en uit dit huwelijk werden drie kinderen geboren.  Maria van Oosterwijck, Isaac Denies, Ernst Stuven en Rachel Ruysch leerden het vak bij hem. Zijn navolgers waren Anthonie Beauregaert en Cornelis Lelienbergh. Van Aelst was van invloed op het werk van Johann Daniel Bager, Jean-Baptiste Oudry, Jan van Huijsum, Frank Pietersz. Verheyden en Paolo Porpora.  Van Aelst specialiseerde zich als een van de eerste kunstenaars in jachtstillevens. Hij wordt als een navolger van Otto Marseus van Schrieck beschouwd.  Werken van Van Aelst zijn o.a. te vinden in het Museum voor Schone Kunsten Antwerpen, het Mauritshuis te Den Haag, in de National Gallery of Art te Washington D.C. en in het Rijksmuseum te Amsterdam.",male,1627,1679,Delft,Amsterdam
Jan van Aken,Q6150343,"Jan van Aken, ook Jean van Aken (Amsterdam, ca. 1614 – aldaar, 1661), was een kunstenaar uit de Nederlandse Gouden Eeuw, bekend als kunstschilder.  Gedurende zijn hele leven, tot aan zijn dood leefde en werkte Jan van Aken in Amsterdam. Er is niet veel bekend over zijn werk. Hij heeft gewerkt als schilder, tekenaar en etser. 21 etsen zijn aan hem toegeschreven. Deze etsen tonen een grote mate van vakmanschap. De prenten tonen architectuur, landschappen (waaronder Rijngezichten) in de stijl van Pieter van Laer en paardenvoorstellingen in de stijl van Herman Saftleven. Zijn stijl was italianiserend. Ook werd hij beïnvloed door Philips Wouwerman.",male,1614,1661,Kampen,Amsterdam
Herman van Aldewereld,Q1703946,"Herman van Aldewereld (1628/1629, Amsterdam – begraven op 17 juli 1669, in de Nieuwe Kerk in Amsterdam). Nederlands kunstschilder, die zich voornamelijk bezighield met portretten schilderen en graveren van vooral beroemde personen. Incidenteel schilderde hij genrestukken. Hij wordt vaak ten onrechte H. van Alde genoemd, omdat hij gewoonlijk tekende met 'H. van Alde', met een schetsje van de wereldbol, waarmee hij het laatste deel van zijn achternaam aanduidde, wellicht als grapje. Hij ging op 30 augustus 1662 in ondertrouw met Fietje Jans. Er zijn diverse werken van hem bekend.",male,1620,1669,Amsterdam,Amsterdam
Philips Angel,Q457712,"Philips Angel I of Philips Angel van Middelburg (Middelburg, september 1616 – aldaar, na 22 oktober 1683) was een Nederlands schilder van stillevens.  Philips Angel I werd op 14 september 1616 gedoopt in de Nieuwe Kerk te Middelburg. Op 25 januari 1639 ging hij daar in ondertrouw met Jacqemyntgende Smeth. Datzelfde jaar werd hij lid van het Sint-Lucasgilde van Haarlem.  Op 11 oktober 1641 woonde hij in Haarlem, waar hij op 4 augustus 1642 trouwde met Elisabeth Vercammen.  Op 2 december 1642 werd hij tweede secretaris van het gilde en op 7 juli 1643 eerste secretaris. Hij wordt voor het laatst vermeld op 22 oktober 1683.  Ongeveer 30 schilderijen worden aan hem toegeschreven, sommige met data tussen 1642 en 1664 of 1668. Hij was een schilder van stillevens.  Verwarring in zijn signaturen en dateringen bemoeilijkt de studie van de ontwikkeling in zijn kunst met ongerelateerde subgenres, met name zijn sobere 'ontbijtjes' (stillevens met voedsel, servies en keukenvoorwerpen).  Zijn werken vallen in drie hoofdgroepen: schuurinterieurs met de nadruk op het stilleven element, 'ontbijtjes' en stillevens met dode vogels. De invloed van François Ryckhals kan herkend worden in de eerste twee groepen. Ryckhals was mogelijk zijn leraar in Middelburg.   Zijn 'ontbijtjes' tonen de invloed van Haarlemse schilders zoals Floris van Dyck in de voorkeur voor het opbouwen van composities met individueel bestudeerde componenten en in de weergave van verschillende details. De stillevens met dode vogels behoren tot zijn beste werken en zijn vergelijkbaar met de jachtstillevens van de Vlaamse schilders Jan Fyt en Alexander Adriaenssen. Deze werken tonen Angels vaardigheid in het schilderen van bont en veren.  Philips Angel I's leven en werk worden in oude naslagwerken vaak verward met die van een familielid (vermoedelijk een neef), met dezelfde naam (aangeduid als Philips Angel II of Philips Angel van Leiden), geboren in 1618 in Leiden. Deze Philips Angel II was actief als schilder in Leiden van 1637 tot 1645 en zeilde daarna naar Batavia waar hij later overleed.",male,1616,1683,Middelburg,Middelburg
Philips Angel II,Q1562098,"Philips Angel II of Philips Angel van Leiden (Leiden, ca. 1618 – na 1664) was een kunstschilder, schrijver, etser en ambtenaar in dienst van de Vereenigde Oostindische Compagnie (VOC). Hij is vooral bekend als auteur van een 58-pagina tellend boekje met de titel Lof der schilder-konst, dat een zeldzame bron vormt voor het begrijpen van de Nederlandse kunsttheorie uit het midden van de 17de  eeuw.  Het leven en werk van Philips Angel II worden vaak verward met die van een familielid (vermoedelijk een neef) met dezelfde naam (aangeduid als Philips Angel I of Philips Angel van Middelburg), geboren in Middelburg in 1616.  Philips Angel II was actief als schilder in Leiden vanaf 1637, waar hij wordt vermeld als een meesterschilder in 1638. Hij trouwde in 1639. Op 6 november 1639 werd een dochter van hem geboren in Leiden en op 10 april 1641 huurde hij in die stad een huis.    Op 18 oktober 1641 hield hij in Leiden een voordracht getiteld Lof der schilder-konst, die hij in 1642 liet uitgeven.  In 1645 trad hij in dienst van de VOC en vertrok hij met zijn vrouw naar Batavia. Hij presteerde naar behoren en werd in 1651 met de VOC-gezant Joan Cunaeus naar Isfahan gezonden, waar hij opperhoofd van de factorij en tweede man in de hiërarchie van de VOC in Perzië zou worden. Spoedig na aankomst daar werd hij betrapt op het pogen een zeer grote hoeveelheid goederen voor persoonlijk gewin te verhandelen. Het transport van die goederen had hij de VOC laten betalen. Vrijwel iedere employee van de compagnie handelde ook voor eigen gewin en de compagnie gedoogde dat tot op zekere hoogte. Deze hoeveelheid was echter te veel om te laten passeren en Angel kreeg het bevel terug te keren naar Batavia en daar een proces tegen hem af te wachten. Gedurende zijn reis naar de kust werd door de VOC een bericht ontvangen van sjah Abbas II dat hij Angel als kunstschilder in dienst wilde nemen. Cunaeus stelde Angel voor de keus naar Batavia te gaan waar een proces tegen hem zou plaatsvinden of het aanbod van de sjah te accepteren. Angel koos voor het laatste. Tijdens de reis terug naar Isfahan maakte hij in Persepolis een aantal van de eerste tekeningen van de bouwwerken in de oude hoofdstad van het Eerste Perzische Rijk. Deze tekeningen werden opgenomen in het tussen 1724 en 1726 verschenen werk Oud en Nieuw Oost-Indiën van François Valentijn, maar daarin foutief toegeschreven aan Herbert de Jager.   Hij kocht een atelier en ging in 1653 als kunstschilder aan de slag. Angel werd daarmee de zesde Nederlandse kunstschilder die werkzaam was aan het hof van een van de vorsten van de Safawiden. De eerste was Jan Lucasz. van Hasselt, die daar van 1617 tot 1630 had gewerkt. Die vorsten betaalden de Nederlandse schilders exorbitant hoge salarissen. Angel kreeg een jaarlijkse bijdrage van 4000 guldens, ongeveer het tienvoudige dat een schilder die redelijke kwaliteit kon produceren in Nederland verdiende. Voor vijf schilderijen kreeg hij daarnaast nog een bedrag van ongeveer 6000 guldens. De VOC was van opvatting dat in ieder geval dit laatste bedrag de compagnie toekwam.   Er heerste bij de compagnie in Perzië ook groot wantrouwen ten opzichte van Angel. In 1654 gaf de gouverneur-generaal Joan Maetsuycker het hoofd van de vestiging in Perzië, Dirck Sarcerius, de opdracht Angel alsnog naar Batavia te zenden. Ondanks verzet van Angel werd die opdracht uitgevoerd. In Batavia klaagde Angel de VOC aan vanwege zijn opvatting dat hij nog geld van de compagnie tegoed had. Die claim werd verworpen en vervolgens volgde een aanklacht van de VOC tegen Angel vanwege zijn illegale handel. In 1656 trouwde Angel met Maria van der Stel, de jongere zus van Simon van der Stel, de latere gouverneur van de Kaapkolonie. Het was deze connectie die de compagnie deed besluiten de aanklacht te laten vallen. Angel verkreeg enkele functies binnen het stadsbestuur van Batavia.   Zijn vrouw overleed in 1661 en daarmee was ook de bescherming van de familie van der Stel weggevallen. Later dat jaar werd hij beschuldigd van verduistering van 6000 rijksdaalders. Angel werd gearresteerd en zijn bezit werd verkocht. De VOC diende bovendien een nieuwe aanklacht tegen hem in vanwege het atelier dat hij destijds in Isfahan tegen de instructies van de compagnie had laten bouwen.   Het laatste bericht over Angel is een in 1664 gemaakte inventarislijst van zijn bezittingen in Batavia waar negen schilderijen op vermeld zijn. Geen van die schilderijen is bewaard gebleven. Na zijn overlijden werden tekeningen die hij gemaakt had gepubliceerd onder namen van anderen, zoals het werk in Persepolis. De Franse reiziger en juwelier Jean-Baptiste Tavernier die ook langere tijd in Perzië had verbleven schreef dat hij van sjah Abbas II bij zijn vertrek een aantal tekeningen als afscheidscadeau had ontvangen. Enkele van die schilderijen had de sjah zelf gemaakt. Hij vertelde Tavernier dat hij had leren tekenen van Angel.",male,1618,1664,Leiden,Batavia
Pieter van Anraedt,Q2311583,"Pieter van Anraedt, ook Pieter van Anraadt, (Utrecht, ca. 1635 - Deventer, 1678) was een Nederlands kunstschilder in de 17e eeuw. Van Anraedt was een navolger van Gerard ter Borch, en wist dicht bij diens kwalitatief hoogstaand werk te komen, maar wordt desondanks als mindere schilder gekwalificeerd. Van Anraedt stond meer open voor destijds moderne invloeden dan Ter Borch.  Van Anraedt werd geboren in Utrecht. Zijn leertijd bracht hij door in Deventer, waar hij werd beïnvloed door Gerard ter Borch. Hij had veel bewondering voor de dichtkunst, en ging daarom veel met dichter Jan van der Veen om. Uiteindelijk trouwde Van Anreadt zelfs met diens dochter, met wie hij meerdere kinderen kreeg.  In het Rampjaar 1672 verhuisde van Anraedt met zijn vrouw en kinderen naar Amsterdam. Hier schilderde hij de regenten van het H. Geesthuis te Haarlem (1674) en de regenten van het Huiszittenhuis in Amsterdam (1675). Van Anraedt werd vooral om dit laatste werk geroemd. De stijl ervan wordt vergeleken met die van Bartholomeus van der Helst. Het stuk werd in 1808, bij de opheffing van het huis, opgerold en pas in 1848 weer, ongeschonden, uitgerold en gepresenteerd.  Vanaf het jaar 1675 verbleef Van Anraedt te Deventer, waar hij drie jaar later overleed.  Van Anraedt werd bekend om zijn portretten. Het Stilleven met kruik uit 1658 is het enige stilleven dat van hem bekend is, en laat invloeden zien van Jan Jansz van de Velde en Jan Treck. Mogelijk is dit schilderij een verkenning door Van Anraedt in het genre van het stilleven of werd dit werk gemaakt in opdracht van de tabakshandel. Volgens curator en kunsthistoricus Alan Chong zijn de Goudse pijpen in dit stilleven de mooist geschilderde in de Gouden Eeuw.  Het Frans Hals Museum in Haarlem, het Mauritshuis in Den Haag, het Rijksmuseum en Amsterdams Historisch Museum in Amsterdam en Museum De Waag in Deventer hebben schilderijen van Van Anraedt in hun bezit.",male,1635,1678,Utrecht,Deventer
Arnoldus van Anthonissen,Q696967,"Arnoldus van Anthonissen (Leiden, gedoopt op 13 april 1631 – Zierikzee, overleden 1703) was een schilder van zeegezichten uit de gouden eeuw.  Arnoldus stamde uit een familie van marineschilders. Volgens het Rijksbureau voor Kunsthistorische Documentatie (RKD) was hij de zoon van de marineschilder Hendrick van Anthonissen en Judith Flessiers. Zijn beide grootvaders waren de marineschilders: Aert Anthonisz en Balthasar Flessiers. Ook zijn oom Willem Flessiers was marineschilder. Zijn tante, Janneke Flessiers, was gehuwd met de marineschilder Jan Porcellis. Zijn eerste opleiding kreeg hij waarschijnlijk van zijn vader. Zijn ouders verhuisden in 1642 naar Amsterdam. Ze woonden daar in de Sint Antoniesbreestraat. Arnoldus verhuisde in 1660 naar Leiden en trad op 28 september 1662 in het huwelijk met Catharina Herpers van Renen uit Leiden; zij woonden aan de Pieterskerkgracht. Hij was deken van de grofschilders in het Sint Lucasgilde. In 1664 verhuisde hij naar Zierikzee waar hij poorter werd en eigenaar van een hoedenwinkel, die door zijn vrouw gedreven werd. Van 1665 tot 1669 was hij lid van het Sint Lucasgilde in Middelburg als fijnschilder en marmerschilder. Hij schilderde ook wapenschilden en een kaart van Schouwen-Duiveland. Hij hertrouwde in 1681 met Machelina van IJsselstein. Vanaf 1671 tot aan zijn overlijden in 1703 was hij actief in Zierikzee als kunsthandelaar.  Hij is vooral bekend om zijn zeegezichten en kaarten van Schouwen en Duiveland. Zijn monogram is AA. Er zijn ongeveer dertig werken van hem bekend.  Frank van der Ploeg en Inge Schipper: Arnoldus van Anthonissen. Een Zeeuwse meester uit de Gouden eeuw. WBooks, 2022",male,1631,1703,Leiden,Zierikzee
Hendrick van Anthonissen,Q920814,"Hendrick van Anthonissen (Amsterdam, 29 mei 1605 – aldaar, 12 november 1656), soms Hendrick van de Anthonissen of Hendrik van Antem genoemd, was een Nederlandse marineschilder, behorend tot de Hollandse School.  Zijn vader was de marineschilder Aert Anthonisz, ook bekend als Aert van Antum. Aanvankelijk werd hij opgeleid door zijn vader, maar in 1626 was hij leerling van Jan Porcellis. Vermoedelijk in dat jaar kocht hij enkele tekeningen van hem. Hij onderging ook invloed van Jan van Goyen. Hij trouwde in 1630 in Amsterdam met Porcellis' schoonzus Judith Flessiers. Een jaar later kregen ze een zoon Arnoldus van Anthonissen, die ook marineschilder werd en door zijn vader werd opgeleid.  In 1631 verhuisde Van Antonissen naar Den Haag en in 1632 naar Leiden, waar hij op 19 september van dat jaar zijn testament opmaakte. Van 1635 tot 1642 was hij werkzaam in Leiderdorp, van 1642 tot 1651 weer in Amsterdam en daarna in Rijnsburg. In 1654 keerde hij opnieuw terug naar Amsterdam, waar hij in 1656 overleed.  Van Van Anthonissen zijn grisailles, marines en strandgezichten bekend. Werk van hem hangt in onder meer het Rijksmuseum Amsterdam, de Hermitage (Sint-Petersburg), de Nationale Galerie Praag, het Nationaal Museum in Warschau, het National Maritime Museum in Greenwich (Londen), het Staatliches Museum in Schwerin en Het Scheepvaartmuseum in Amsterdam.  In 2014 ontdekte een assistent-conservator van het Fitzwilliam Museum in Cambridge bij de restauratie van het schilderij Gezicht op Scheveningen uit 1641, dat een deel was overgeschilderd om zo een aangespoelde walvis te verbergen. De overschildering is waarschijnlijk aangebracht in de achttiende eeuw, vermoedelijk om zo het schilderij beter te kunnen verkopen. Het werk is sinds 1873 in het bezit van het museum.",male,1605,1656,Amsterdam,Amsterdam
